id,sector,name,pitch,target_market,model_slug,budget_band,location,team,time_mode,source,ref
3001,ODOP (One District One Product),Amla Processing,"Aamla Products is the ODOP of Pratapgarh. Buy direct from growers there and sell a processed, branded product.",,fruit-and-vegetable-processing,2,,,,odop,odop:aamla-product
3002,ODOP (One District One Product),Agarwood & Its Derivatives,Agarwood & Its Derivatives is the ODOP of Golaghat. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,3,,,,odop,odop:agarwood-its-derivative
3003,ODOP (One District One Product),Agate Stone Crafts,Agates Stone is the ODOP of Anand. Work with its makers and sell their work to city and export buyers.,,jewellery-brand,3,,,,odop,odop:agate-stone
3004,ODOP (One District One Product),Farm Implements Manufacturing,Agri - Implements is the ODOP of Kurukshetra. Work with its makers and sell their work to city and export buyers.,,light-engineering-unit,4,,,,odop,odop:agri-implement
3005,ODOP (One District One Product),Agriculture Implements,"Agriculture Implements is the ODOP of Hisar, Moga, Sri Muktsar Sahib. Work with its makers and sell their work to city and export buyers.",,light-engineering-unit,4,,,,odop,odop:agriculture-implement
3006,ODOP (One District One Product),Aipan Products,Aipan Products is the ODOP of Nainital. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,2,,,,odop,odop:aipan-product
3007,ODOP (One District One Product),Allagadda Stone Carving,Allagadda Stone Carving is the ODOP of Nandyal. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,3,,,,odop,odop:allagadda-stone-carving
3008,ODOP (One District One Product),Alphonso Mangoes Processing,"Alphonso Mangoes is the ODOP of Ratnagiri. Buy direct from growers there and sell a processed, branded product.",,fruit-and-vegetable-processing,3,,,,odop,odop:alphonso-mangoe
3009,ODOP (One District One Product),Ghungroo & Brass Bells,"Ankle Bells (Ghungroo), Bells and Brass Products is the ODOP of Etah. Work with its makers and sell their work to city and export buyers.",,handcrafted-home-decor,2,,,,odop,odop:ankle-bell-ghungroo-bell-bras-product
3010,ODOP (One District One Product),Jackets & Jeans Manufacturing,Apparels (Jackets & Jeans) is the ODOP of North-East. Work with its makers and sell their work to city and export buyers.,,d2c-apparel-brand,3,,,,odop,odop:apparel-jacket-jean
3011,ODOP (One District One Product),Apple Processing,"Apple is the ODOP of West Kameng, Baramulla, Shopian. Buy direct from growers there and sell a processed, branded product.",,fruit-and-vegetable-processing,3,,,,odop,odop:apple
